Colegio,Distrito,Latitud,Longitud,Admisiones_p,Color
Escuelas Bosque,Moncloa - Aravaca,40.4589873398,-3.71253688173,11.8,#ecc8af
Eugenio María de Hostos,Moncloa - Aravaca,40.4691620845,-3.71777571781,87.5,#7b5a3c
Lepanto,Moncloa - Aravaca,40.4684390227,-3.72104730287,0.0,#f18477
Dionisio Ridruejo,Hortaleza,40.4730183544,-3.63454315614,66.7,#c18c5d
Filósofo Séneca,Hortaleza,40.478381552,-3.6502374704,100.0,#495867
Hortaleza,Hortaleza,40.4724406572,-3.647738241,-1.0,#000000
Pablo Picasso,Hortaleza,40.4707862667,-3.64715611626,16.7,#ecc8af
Pinar del Rey,Hortaleza,40.4716202449,-3.65424206261,90.9,#7b5a3c
San Miguel,Hortaleza,40.4744063898,-3.65222821453,80.0,#7b5a3c
Doctor Conde Arruga,Moratalaz,40.4038241047,-3.64357997378,50.0,#e7ad99
Pío Baroja,Moratalaz,40.4035400189,-3.63794419299,80.0,#7b5a3c
Doctor Federico Rubio,Tetuán,40.4524271206,-3.71134722929,100.0,#495867
Ignacio Zuloaga,Tetuán,40.4562549638,-3.71150553745,80.0,#7b5a3c
Doctor Severo Ochoa,Vicálvaro,40.4103110308,-3.61368210619,50.0,#e7ad99
Vicálvaro,Vicálvaro,40.4050257574,-3.60109491852,71.4,#c18c5d
EEUU - Huarte de San Juan,Moncloa - Aravaca,40.4287017947,-3.73370855742,100.0,#495867
Fernández de Moratín,Moncloa - Aravaca,40.4267332186,-3.72730948445,100.0,#495867
El Madroño,Puente de Vallecas,40.4022043001,-3.65448872295,66.7,#c18c5d
Fray Junípero Serra,Puente de Vallecas,40.3953095453,-3.65815724393,72.2,#c18c5d
El Sol,San Blas - Canillejas,40.4239973823,-3.61168458648,80.0,#7b5a3c
María Moliner,San Blas - Canillejas,40.4221740208,-3.6191180462,100.0,#495867
República de Panamá nº 1,San Blas - Canillejas,40.4262269,-3.6172453,50.0,#e7ad99
Ermita del Santo,Latina,40.4109198479,-3.72340306876,36.8,#e7ad99
Francisco de Goya,Latina,40.4111896128,-3.72779034086,50.0,#e7ad99
Joaquín Dicenta,Latina,40.4056359339,-3.738384162,-1.0,#000000
Escuelas Aguirre,Retiro,40.4145497025,-3.67435086048,21.4,#ecc8af
Esperanza,Hortaleza,40.4614426338,-3.64578080791,58.8,#c18c5d
Garcilaso de la Vega,Hortaleza,40.4669937289,-3.63410898756,81.8,#7b5a3c
Luis Cernuda,Hortaleza,40.4613154044,-3.65398874536,100.0,#495867
Ramón Pérez de Ayala,Hortaleza,40.4663499004,-3.63323005426,100.0,#495867
Felipe II,Tetuán,40.4729057017,-3.69934183889,-1.0,#000000
Pío XII,Tetuán,40.466938595,-3.69388929191,87.0,#7b5a3c
Fernando el Católico,Chamberí,40.4341036895,-3.70973929433,87.5,#7b5a3c
San Cristóbal,Chamberí,40.4374332991,-3.70445676126,80.0,#7b5a3c
Fontarrón,Moratalaz,40.3951135128,-3.63357557022,100.0,#495867
Martínez Montañés,Moratalaz,40.4019135421,-3.63391036022,80.0,#7b5a3c
Francisco Ruano,Puente de Vallecas,40.3800856374,-3.6735476485,100.0,#495867
García Morente,Puente de Vallecas,40.3733664858,-3.66548252495,-1.0,#000000
Giner de los Ríos,Puente de Vallecas,40.3795294712,-3.66847650353,80.0,#7b5a3c
José María de Pereda,Puente de Vallecas,40.3818346187,-3.67488452639,50.0,#e7ad99
Manuel Núñez de Arenas,Puente de Vallecas,40.3752528307,-3.66174334696,100.0,#495867
Padre Mariana,Puente de Vallecas,40.377035594,-3.67130262626,0.0,#f18477
Francisco de Luis,Moratalaz,40.4088380164,-3.66029256578,100.0,#495867
Regimiento Inmemorial del Rey,Moratalaz,40.4073860721,-3.65739096778,100.0,#495867
Francisco de Quevedo,Retiro,40.4047276921,-3.67933210662,0.0,#f18477
San Isidoro,Retiro,40.4065086717,-3.6813417079,100.0,#495867
Gandhi,Ciudad Lineal,40.4237462616,-3.63650827804,50.0,#e7ad99
Miguel Blasco Vilatela,Ciudad Lineal,40.4293465714,-3.63218728824,37.5,#e7ad99
Gloria Fuertes,Usera,40.3693116288,-3.70513683701,10.0,#ecc8af
Meseta de Orcasitas,Usera,40.371945354,-3.71052379889,0.0,#f18477
Puerto Rico,Usera,40.3679444994,-3.71939806383,0.0,#f18477
Gonzalo Fernández de Córdoba,Latina,40.394142137,-3.77929874527,14.3,#ecc8af
Hermanos Pinzón,Latina,40.3985817859,-3.76880347321,100.0,#495867
La Dehesa del Príncipe,Latina,40.379772095,-3.79395296851,100.0,#495867
Guindalera,Salamanca,40.4372859977,-3.66702022908,78.6,#7b5a3c
Gustavo Adolfo Bécquer,Ciudad Lineal,40.4240189223,-3.64904175678,100.0,#495867
Leopoldo Alas,Ciudad Lineal,40.4282464576,-3.65343253071,100.0,#495867
San Juan Bosco,Ciudad Lineal,40.4196837828,-3.6525599142,100.0,#495867
Haití,Carabanchel,40.3860711818,-3.74634688688,44.4,#e7ad99
Parque Eugenia de Montijo,Carabanchel,40.3783744698,-3.75236411272,66.7,#c18c5d
Infanta Leonor,Fuencarral - El Pardo,40.4996695214,-3.7114329556,0.0,#f18477
Mirasierra,Fuencarral - El Pardo,40.4911390355,-3.7141984472,42.4,#e7ad99
Isabel la Católica,Centro,40.4266422154,-3.69972299491,23.1,#ecc8af
Jaime Balmes,Puente de Vallecas,40.3879037094,-3.67076251537,10.5,#ecc8af
Jaime Vera,Tetuán,40.4524784135,-3.70296280762,50.0,#e7ad99
Joaquín Costa,Arganzuela,40.4055513538,-3.71456576736,0.0,#f18477
Marqués de Marcenado,Arganzuela,40.4103704921,-3.72048608485,100.0,#495867
Tomás Bretón,Arganzuela,40.4010658346,-3.71586173703,10.5,#ecc8af
Joaquín Turina,Ciudad Lineal,40.4806412425,-3.66632834447,100.0,#495867
Jorge Manrique,Usera,40.3881085852,-3.71037551829,10.0,#ecc8af
Juan Sebastián Elcano,Usera,40.3890438232,-3.70476527262,0.0,#f18477
José Calvo Sotelo,Retiro,40.4008413127,-3.6737662524,10.0,#ecc8af
José Ortega y Gasset,Tetuán,40.4616034174,-3.69420002964,28.2,#e7ad99
Juan Ramón Jiménez,Tetuán,40.4632785625,-3.70322872272,0.0,#f18477
