,Colegio,Distrito,Latitud,Longitud,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2012-2013 Admitidas,2012-2013 Presentadas,2013-2014 Admitidas,2013-2014 Presentadas,2014-2015 Admitidas,2014-2015 Presentadas,2015-2016 Admitidas,2015-2016 Presentadas,2016-2017 Admitidas,2016-2017 Presentadas
69,Ermita del Santo,LATINA,40.4109198479,-3.72340306876,290.0,283.0,278.0,287.0,287.0,3.0,3.0,8.0,10.0,12.0,15.0,4.0,9.0,7.0,19.0
70,Escuelas Aguirre,RETIRO,40.4145497025,-3.67435086048,308.0,307.0,305.0,303.0,298.0,4.0,9.0,7.0,14.0,6.0,22.0,4.0,15.0,3.0,14.0
71,Escuelas Bosque,MONCLOA-ARAVACA,40.4589873398,-3.71253688173,287.0,295.0,302.0,300.0,293.0,6.0,13.0,8.0,16.0,11.0,15.0,4.0,13.0,2.0,17.0
72,Esperanza,HORTALEZA,40.4614426338,-3.64578080791,249.0,261.0,268.0,273.0,280.0,7.0,7.0,9.0,9.0,8.0,10.0,4.0,7.0,10.0,17.0
73,Eugenio María de Hostos,MONCLOA-ARAVACA,40.4691620845,-3.71777571781,228.0,243.0,287.0,321.0,319.0,9.0,11.0,6.0,12.0,9.0,11.0,4.0,8.0,7.0,8.0
74,Felipe II,TETUAN,40.4729057017,-3.69934183889,128.0,115.0,112.0,114.0,126.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,,
75,Fernando el Católico,CHAMBERI,40.4341036895,-3.70973929433,127.0,137.0,163.0,183.0,207.0,3.0,3.0,5.0,6.0,8.0,8.0,6.0,6.0,7.0,8.0
76,Fernández de Moratín,MONCLOA-ARAVACA,40.4267332186,-3.72730948445,262.0,242.0,232.0,232.0,227.0,7.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
77,Filósofo Séneca,HORTALEZA,40.478381552,-3.6502374704,109.0,107.0,111.0,120.0,132.0,1.0,1.0,4.0,4.0,3.0,3.0,6.0,6.0,1.0,1.0
78,Fontarrón,MORATALAZ,40.3951135128,-3.63357557022,272.0,265.0,279.0,264.0,259.0,9.0,12.0,5.0,6.0,6.0,8.0,6.0,6.0,3.0,3.0
79,Francisco Arranz,LATINA,40.3749289516,-3.76260941478,283.0,286.0,298.0,302.0,307.0,2.0,6.0,6.0,22.0,2.0,17.0,3.0,22.0,1.0,31.0
80,Francisco Fatóu,VILLA DE VALLECAS,40.3759790329,-3.6184358604,313.0,328.0,305.0,306.0,316.0,4.0,9.0,3.0,15.0,4.0,12.0,0.0,7.0,1.0,8.0
81,Francisco Ruano,PUENTE DE VALLECAS,40.3800856374,-3.6735476485,137.0,144.0,143.0,138.0,127.0,8.0,11.0,3.0,6.0,5.0,10.0,0.0,4.0,3.0,3.0
82,Francisco de Goya,LATINA,40.4111896128,-3.72779034086,115.0,103.0,120.0,122.0,129.0,6.0,6.0,3.0,3.0,11.0,11.0,2.0,2.0,2.0,4.0
83,Francisco de Luis,MORATALAZ,40.4088380164,-3.66029256578,74.0,88.0,97.0,97.0,100.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0
84,Francisco de Quevedo,RETIRO,40.4047276921,-3.67933210662,95.0,85.0,90.0,97.0,106.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,0.0,1.0
85,Fray Junípero Serra,PUENTE DE VALLECAS,40.3953095453,-3.65815724393,332.0,307.0,315.0,310.0,308.0,5.0,9.0,8.0,16.0,10.0,27.0,10.0,18.0,13.0,18.0
86,Gabriela Mistral,FUENCARRAL-EL PARDO,40.5077420613,-3.66755252701,374.0,378.0,366.0,344.0,325.0,17.0,26.0,7.0,17.0,7.0,12.0,9.0,22.0,1.0,16.0
87,Gandhi,CIUDAD LINEAL,40.4237462616,-3.63650827804,169.0,164.0,154.0,143.0,151.0,,,3.0,3.0,0.0,5.0,2.0,4.0,1.0,2.0
88,Garcilaso de la Vega,HORTALEZA,40.4669937289,-3.63410898756,266.0,267.0,258.0,287.0,285.0,11.0,11.0,2.0,2.0,4.0,6.0,9.0,10.0,9.0,11.0
89,García Morente,PUENTE DE VALLECAS,40.3733664858,-3.66548252495,87.0,92.0,88.0,78.0,71.0,4.0,4.0,10.0,10.0,6.0,6.0,,,,
90,Giner de los Ríos,PUENTE DE VALLECAS,40.3795294712,-3.66847650353,264.0,272.0,264.0,256.0,234.0,8.0,9.0,5.0,7.0,7.0,10.0,4.0,5.0,4.0,5.0
91,Gloria Fuertes,USERA,40.3693116288,-3.70513683701,200.0,193.0,190.0,184.0,190.0,,,,,9.0,11.0,1.0,4.0,1.0,10.0
92,Gonzalo Fernández de Córdoba,LATINA,40.394142137,-3.77929874527,247.0,270.0,285.0,300.0,294.0,5.0,5.0,7.0,7.0,1.0,6.0,0.0,12.0,2.0,14.0
93,Gonzalo de Berceo,CARABANCHEL,40.3847122148,-3.72200338627,302.0,304.0,306.0,305.0,305.0,4.0,14.0,1.0,8.0,1.0,13.0,1.0,10.0,0.0,11.0
94,Guindalera,SALAMANCA,40.4372859977,-3.66702022908,174.0,180.0,218.0,214.0,235.0,13.0,13.0,10.0,10.0,14.0,14.0,12.0,12.0,11.0,14.0
95,Gustavo Adolfo Bécquer,CIUDAD LINEAL,40.4240189223,-3.64904175678,294.0,293.0,283.0,284.0,278.0,5.0,9.0,6.0,10.0,7.0,11.0,4.0,4.0,2.0,2.0
96,Haití,CARABANCHEL,40.3860711818,-3.74634688688,434.0,394.0,396.0,419.0,415.0,10.0,17.0,8.0,8.0,15.0,15.0,8.0,10.0,4.0,9.0
97,Hermanos Pinzón,LATINA,40.3985817859,-3.76880347321,220.0,219.0,231.0,250.0,248.0,5.0,5.0,2.0,2.0,6.0,6.0,4.0,4.0,3.0,3.0
98,Hernán Cortés,LATINA,40.3911834075,-3.7512812696,286.0,284.0,284.0,296.0,299.0,7.0,16.0,5.0,13.0,9.0,15.0,3.0,11.0,0.0,10.0
99,Honduras,VILLA DE VALLECAS,40.3777503195,-3.62077275314,272.0,291.0,292.0,310.0,326.0,6.0,11.0,7.0,17.0,7.0,15.0,9.0,10.0,0.0,4.0
100,Hortaleza,HORTALEZA,40.4724406572,-3.647738241,,,,,,,,,,,,,,,
101,Ignacio Zuloaga,TETUAN,40.4562549638,-3.71150553745,246.0,251.0,242.0,244.0,265.0,13.0,13.0,11.0,11.0,3.0,3.0,1.0,3.0,12.0,15.0
102,Infanta Leonor,FUENCARRAL-EL PARDO,40.4996695214,-3.7114329556,399.0,431.0,461.0,481.0,471.0,7.0,15.0,3.0,12.0,2.0,11.0,0.0,27.0,0.0,5.0
103,Isaac Albéniz,CHAMARTIN,40.4642287544,-3.66912674106,85.0,82.0,84.0,99.0,115.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0,5.0,9.0,12.0
104,Isaac Peral,CARABANCHEL,40.386295805,-3.7309272123,288.0,288.0,292.0,317.0,305.0,4.0,9.0,15.0,21.0,7.0,20.0,4.0,15.0,2.0,13.0
105,Isabel la Católica,CENTRO,40.4266422154,-3.69972299491,230.0,248.0,261.0,268.0,287.0,14.0,14.0,21.0,21.0,17.0,17.0,8.0,15.0,3.0,13.0
106,Jaime Balmes,PUENTE DE VALLECAS,40.3879037094,-3.67076251537,281.0,275.0,270.0,279.0,290.0,5.0,12.0,13.0,15.0,10.0,20.0,9.0,20.0,2.0,19.0
107,Jaime Vera,TETUAN,40.4524784135,-3.70296280762,310.0,308.0,286.0,275.0,281.0,4.0,4.0,7.0,7.0,3.0,4.0,4.0,7.0,3.0,6.0
108,Javier de Miguel,PUENTE DE VALLECAS,40.3861797185,-3.65720830761,242.0,248.0,264.0,255.0,247.0,2.0,8.0,2.0,11.0,8.0,21.0,3.0,13.0,0.0,26.0
109,Joaquín Costa,ARGANZUELA,40.4055513538,-3.71456576736,931.0,952.0,966.0,946.0,940.0,27.0,27.0,45.0,54.0,2.0,48.0,0.0,31.0,0.0,12.0
110,Joaquín Dicenta,LATINA,40.4056359339,-3.738384162,115.0,111.0,117.0,113.0,123.0,,,3.0,3.0,3.0,3.0,1.0,1.0,,
111,Joaquín Turina,CIUDAD LINEAL,40.4806412425,-3.66632834447,113.0,103.0,96.0,82.0,94.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0
112,Jorge Guillén,FUENCARRAL-EL PARDO,40.4753142252,-3.7077074438,196.0,166.0,171.0,169.0,152.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,8.0,4.0,7.0
113,Jorge Manrique,USERA,40.3881085852,-3.71037551829,310.0,289.0,290.0,299.0,309.0,6.0,11.0,3.0,10.0,1.0,8.0,3.0,9.0,1.0,10.0
114,Josep Tarradellas,FUENCARRAL-EL PARDO,40.509734261,-3.6704522713,63.0,144.0,262.0,401.0,526.0,4.0,4.0,18.0,18.0,17.0,17.0,8.0,18.0,1.0,17.0
115,José Bergamín,FUENCARRAL-EL PARDO,40.4955109998,-3.69604807948,79.0,71.0,61.0,63.0,67.0,,,,,2.0,2.0,0.0,0.0,1.0,1.0
116,José Calvo Sotelo,RETIRO,40.4008413127,-3.6737662524,390.0,387.0,396.0,420.0,428.0,21.0,27.0,8.0,12.0,7.0,17.0,18.0,30.0,2.0,20.0
117,José María de Pereda,PUENTE DE VALLECAS,40.3818346187,-3.67488452639,148.0,134.0,120.0,121.0,119.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,4.0,8.0
118,José Ortega y Gasset,TETUAN,40.4616034174,-3.69420002964,430.0,446.0,418.0,409.0,431.0,37.0,37.0,18.0,31.0,16.0,16.0,6.0,13.0,11.0,39.0
119,José de Echegaray,VILLA DE VALLECAS,40.3682611545,-3.61450194937,0.0,0.0,0.0,81.0,157.0,,,,,,,0.0,20.0,0.0,19.0
120,Jovellanos,LATINA,40.3792700965,-3.78301487902,226.0,215.0,231.0,246.0,245.0,4.0,4.0,7.0,7.0,4.0,5.0,2.0,3.0,5.0,5.0
121,Juan Gris,VILLA DE VALLECAS,40.372633463,-3.61734513763,369.0,336.0,318.0,314.0,307.0,1.0,4.0,0.0,11.0,2.0,18.0,1.0,9.0,2.0,14.0
122,Juan Ramón Jiménez,TETUAN,40.4632785625,-3.70322872272,122.0,129.0,113.0,119.0,129.0,6.0,6.0,6.0,6.0,3.0,3.0,1.0,2.0,0.0,3.0
123,Juan Sebastián Elcano,USERA,40.3890438232,-3.70476527262,294.0,283.0,297.0,300.0,308.0,3.0,9.0,4.0,10.0,8.0,13.0,5.0,13.0,0.0,13.0
124,Juan Zaragüeta,HORTALEZA,40.472109787,-3.63100740247,280.0,285.0,287.0,296.0,298.0,7.0,10.0,3.0,5.0,9.0,12.0,0.0,9.0,0.0,4.0
125,Juan de la Cierva,VILLAVERDE,40.3544360092,-3.69046192373,630.0,638.0,621.0,605.0,612.0,12.0,30.0,6.0,22.0,1.0,23.0,0.0,27.0,0.0,29.0
126,Julián Besteiro,CARABANCHEL,40.3805927414,-3.72812068068,373.0,381.0,358.0,337.0,319.0,15.0,23.0,10.0,12.0,6.0,12.0,1.0,7.0,0.0,12.0
127,Julián Marías,SAN BLAS-CANILLEJAS,40.4271443275,-3.60257676981,469.0,477.0,465.0,441.0,448.0,2.0,9.0,7.0,18.0,5.0,14.0,2.0,11.0,5.0,15.0
128,La Alameda,SAN BLAS-CANILLEJAS,40.437537235,-3.60841158119,196.0,212.0,215.0,216.0,227.0,4.0,4.0,4.0,4.0,10.0,10.0,1.0,1.0,,
129,La Dehesa del Príncipe,LATINA,40.379772095,-3.79395296851,244.0,241.0,272.0,271.0,264.0,5.0,5.0,4.0,6.0,6.0,9.0,4.0,5.0,2.0,2.0
130,La Latina,LATINA,40.3888878676,-3.76202457611,260.0,280.0,278.0,288.0,299.0,2.0,4.0,8.0,16.0,8.0,14.0,12.0,13.0,3.0,10.0
131,La Rioja,PUENTE DE VALLECAS,40.3881486289,-3.63700955081,293.0,289.0,283.0,284.0,270.0,6.0,7.0,5.0,7.0,6.0,15.0,0.0,4.0,8.0,13.0
132,Legado Crespo,ARGANZUELA,40.4048058643,-3.70391614612,173.0,163.0,149.0,137.0,139.0,10.0,12.0,2.0,5.0,7.0,13.0,6.0,12.0,9.0,11.0
133,Leopoldo Alas,CIUDAD LINEAL,40.4282464576,-3.65343253071,237.0,233.0,230.0,245.0,261.0,7.0,8.0,8.0,8.0,4.0,4.0,8.0,8.0,6.0,6.0
134,Leopoldo Calvo Sotelo,FUENCARRAL-EL PARDO,40.5008331676,-3.67514332164,244.0,345.0,462.0,588.0,714.0,13.0,14.0,9.0,9.0,23.0,26.0,13.0,17.0,9.0,25.0
135,Lepanto,MONCLOA-ARAVACA,40.4684390227,-3.72104730287,289.0,292.0,294.0,296.0,290.0,2.0,6.0,0.0,3.0,2.0,3.0,0.0,4.0,0.0,6.0
136,Lope de Vega,CARABANCHEL,40.3946054626,-3.7232402249,230.0,231.0,254.0,252.0,289.0,8.0,8.0,8.0,8.0,4.0,4.0,2.0,4.0,,
137,Lorenzo Luzuriaga,FUENCARRAL-EL PARDO,40.4866486266,-3.70160832091,262.0,262.0,268.0,262.0,275.0,4.0,4.0,12.0,13.0,2.0,3.0,12.0,13.0,1.0,7.0
138,Los Almendros,VICALVARO,40.3962911422,-3.62577420388,285.0,260.0,265.0,271.0,257.0,6.0,6.0,1.0,5.0,5.0,6.0,1.0,2.0,1.0,3.0
139,Los Rosales,VILLAVERDE,40.351753905,-3.67783463445,285.0,275.0,305.0,326.0,336.0,8.0,8.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,7.0
140,Loyola de Palacio,VILLA DE VALLECAS,40.3606425012,-3.59845108712,306.0,333.0,400.0,434.0,485.0,8.0,12.0,4.0,18.0,14.0,19.0,0.0,11.0,7.0,15.0
141,Luis Bello,CHAMARTIN,40.4436806015,-3.67354527263,98.0,100.0,104.0,113.0,100.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0
142,Luis Cernuda,HORTALEZA,40.4613154044,-3.65398874536,159.0,161.0,152.0,131.0,133.0,5.0,8.0,6.0,6.0,9.0,10.0,1.0,2.0,2.0,2.0
143,Luis de Góngora,FUENCARRAL-EL PARDO,40.4745973035,-3.71441244598,160.0,156.0,145.0,135.0,145.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0
144,Madrid Sur,PUENTE DE VALLECAS,40.3765775542,-3.65534800367,269.0,265.0,267.0,269.0,262.0,0.0,18.0,2.0,36.0,6.0,34.0,0.0,18.0,0.0,27.0
