CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;INTEGRACION PREFERENTE;TITULARIDAD;SERVICIOS
Madrid-Capital;28030150;IES;RAMON Y CAJAL;Avenida De Manoteras, 55 ;Madrid;Hortaleza;28050;917660911;917665080;-;Público;Activid. .Extraesc.;
Madrid-Capital;28057271;IES;RENACIMIENTO;Calle De Castellflorite, 4 ;Madrid;Carabanchel;28019;914615211;91 5256849;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020624;IES;REY PASTOR;Calle Del Corregidor José De Pasamonte, 17 ;Madrid;Moratalaz;28030;914392661;914371764;-;Público;Activid. .Extraesc.;
Madrid-Capital;28037028;IES;ROSA CHACEL;Calle De Abizanda, 70 ;Madrid;Hortaleza;28033;913821905;917646902;-;Público;Activid. .Extraesc.;
Madrid-Capital;28039876;IES;SALVADOR DALÍ;Calle De Verdaguer Y García, 2 ;Madrid;Ciudad Lineal;28027;914049490;913264503;Motóricos;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28020570;IES;SAN BLAS;Calle De Arcos De Jalón, 120 ;Madrid;San Blas-Canillejas;28037;913061148;913240029;-;Público;-;
Madrid-Capital;28018472;IES;SAN CRISTOBAL DE LOS ANGELES;Plaza De Los Pinazo, 7 ;Madrid;Villaverde;28021;917972584;915053607;-;Público;Activid. .Extraesc.;
Madrid-Capital;28019351;IES;SAN FERNANDO;Carretera De Colmenar Viejo, K13.5 ;Madrid;Fuencarral-El Pardo;28049;917353106;917340764;-;Público;Comedor,Activid. .Extraesc.;
Madrid-Capital;28034441;IES;SAN ISIDORO DE SEVILLA;Plaza Del Marqués De Comillas, 1 ;Madrid;Chamberí;28040;915330607;915330337;-;Público;Activid. .Extraesc.;
Madrid-Capital;28020946;IES;SAN ISIDRO;Calle De Toledo, 39 ;Madrid;Centro;28005;913651271;913656833;-;Público;Activid. .Extraesc.;
Madrid-Capital;28028465;IES;SAN JUAN BAUTISTA;Calle De San Nemesio, 1 ;Madrid;Ciudad Lineal;28043;914137961;914166908;-;Público;Activid. .Extraesc.;
Madrid-Capital;28042644;IES;SANTA EUGENIA;Calle Cerro Almodóvar, 5 ;Madrid;Villa de Vallecas;28031;913311623;913322107;-;Público;Transporte;
Madrid-Capital;28018344;IES;SANTA TERESA DE JESUS;Calle Del Fomento, 9 ;Madrid;Centro;28013;915415996;915418034;-;Público;Activid. .Extraesc.;
Madrid-Capital;28018356;IES;SANTAMARCA;Calle De Puerto Rico, 34 ;Madrid;Chamartín;28016;913505122;913450683;-;Público;Activid. .Extraesc.;
Madrid-Capital;28019464;IES;TIRSO DE MOLINA;Avenida De La Albufera, 144 ;Madrid;Puente de Vallecas;28038;913033173;913801252;-;Público;Activid. .Extraesc.;
Madrid-Capital;28015756;IES;VALDEBERNARDO;Bulevar De Indalecio Prieto, 1 ;Madrid;Vicálvaro;28032;913016099;913016148;-;Público;-;
Madrid-Capital;28020648;IES;VALLECAS I;Avenida De La Albufera, 78 ;Madrid;Puente de Vallecas;28038;914773809;914770873;-;Público;Activid. .Extraesc.;
Madrid-Capital;28030964;IES;VALLECAS-MAGERIT;Calle De Antonio Folgueras, 27 ;Madrid;Puente de Vallecas;28018;914780023;914781320;-;Público;Activid. .Extraesc.;
Madrid-Capital;28040751;IES;VILLA DE VALLECAS;Calle De Villarino De Los Aires, 14 ;Madrid;Villa de Vallecas;28031;917774715;913802465;-;Público;Transporte,Activid. .Extraesc.;
Madrid-Capital;28039891;IES;VILLABLANCA;Calle De Villablanca, 79 ;Madrid;Vicálvaro;28032;917752214;917766577;-;Público;Transporte,Comedor,Activid. .Extraesc.;
Madrid-Capital;28021008;IES;VISTA ALEGRE;Calle Del General Ricardos, 177 ;Madrid;Carabanchel;28025;914628600;915258200;-;Público;Activid. .Extraesc.;
Madrid-Capital;28063799;CP INF-PRI-SEC;ADOLFO SUAREZ;Calle De La Infanta Catalina Micaela, 31 ;Madrid;Hortaleza;28050;917502058;917189274;Transt. Desarrollo;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
Madrid-Capital;28006408;CP INF-PRI-SEC;TIRSO DE MOLINA;Calle Del Bronce, 1 ;Madrid;Arganzuela;28045;915278932;914683695;-;Público;Horario ampliado,Comedor,Activid. .Extraesc.;
